Semana;Horas economizadas - Atendimento;Horas economizadas - Vendas;Horas economizadas - Conteudo;Horas economizadas - Administrativo;Total de horas;Valor da sua hora (R$);Economia da semana (R$);Orcamentos enviados;Vendas fechadas;Observacoes
Exemplo;3;2;1,5;1;7,5;40;300;6;2;Semana de implantacao - estimativa conservadora. Apague esta linha quando comecar a preencher de verdade.
Semana 1;;;;;;;;;;
Semana 2;;;;;;;;;;
Semana 3;;;;;;;;;;
Semana 4;;;;;;;;;;
Semana 5;;;;;;;;;;
Semana 6;;;;;;;;;;
Semana 7;;;;;;;;;;
Semana 8;;;;;;;;;;
Semana 9;;;;;;;;;;
Semana 10;;;;;;;;;;
Semana 11;;;;;;;;;;
Semana 12;;;;;;;;;;
